"fecha","puesto","puntos","nombre","id","club","federacion"
"2024-02-12 09:03:33.385893","74","10.0","TERCEÑO NADAL, OSCAR","9005152","KARATE MUSOKEN","CAT"
"2024-02-12 09:03:33.386200","74","10.0","HERNANDEZ LUCIO, JAVIER","15008532","CLUB VICTOR PRADERA-EUROPA","MAD"
"2024-02-12 09:03:33.386526","87","5.0","HERRERA GUTIÉRREZ, DYLAN","5004556","CLUB KARATE ISA","CNR"
"2024-02-12 09:03:33.386820","87","5.0","GAINZA FACILAA, LUIS","2005265","SOCIEDAD DEPORTIVA SHURIYAMA","ARG"
"2024-02-12 09:03:33.387126","87","5.0","SACCI, SALEM","18004913","KARATE BERRIOZAR","NAV"
"2024-02-12 09:03:33.387448","87","5.0","BUITRAGO RODRIGUEZ, DANIEL","7006869","KIDOKAN","CLM"
"2024-02-12 09:03:33.387757","87","5.0","EVORA DE CARVALHO, DIOGO ALEXANDRE","15317500","CLUB FEDERACIÓN MADRILEÑA DE KARATE","MAD"
"2024-02-12 09:03:33.388051","87","5.0","AL HUSEIN RAIE, OBADA","1004682","C.D. GO-DAI","AND"
"2024-02-12 09:03:33.388340","87","5.0","GONÇALVES DOS SANTOS DUARTE, TIAGO MIGUEL","15317499","CLUB FEDERACIÓN MADRILEÑA DE KARATE","MAD"
"2024-02-12 09:03:33.388669","87","5.0","ALONSO JIMÉNEZ, DAVID","4008136","CLUB KARATE JUAN MUÑOZ RUIZ","VAL"
"2024-02-12 09:03:33.388961","87","5.0","QUESADA TERRÉS, JORDI","4008180","C.K. MONTE BENACANTIL ALICANTE","VAL"
"2024-02-12 09:03:33.389253","87","5.0","ZAMORANO MERINO, SERGIO","4007945","CLUB DEPORTIVO KYODAI","VAL"
"2024-02-12 09:03:33.389572","87","5.0","HERNÁNDEZ GUEDES, JAVIER","5008186","C.D. NAGO (GRUPO HIRAHI)","CNR"
"2024-02-12 09:03:33.389863","87","5.0","GONZALEZ TELLEZ, DAVID","2005555","GIMNASIO ARAGON MAURA","ARG"
"2024-02-12 09:03:33.397519","1","2327.5","DELESTAL JIMENO, FERNANDO","15002274","KARATE ANTONIO MACHADO","MAD"
"2024-02-12 09:03:33.397843","2","1332.5","SANTOS VEIGA, XAVIER","12003763","SAN FRANCISCO TEO","GAL"
"2024-02-12 09:03:33.398144","3","865.0","BALLESTER PIQUER, HUGO","4007952","CLUB J.VIDAL","VAL"
"2024-02-12 09:03:33.398465","4","690.0","GOMEZ CAMPANARIO, IVAN","15002141","KYODAI KARATE GALÁN","MAD"
"2024-02-12 09:03:33.398768","5","495.0","PIRIS FERRER, MIGUEL","15007018","KARATE ANTONIO MACHADO","MAD"
"2024-02-12 09:03:33.399057","6","452.5","CAMACHO ROMERO, JONATHAN","7003935","OKINAWA","CLM"
"2024-02-12 09:03:33.399344","7","442.5","ENNKHAILI ANQOUD, SAMY","14002237","SANKUKAI","RIO"
"2024-02-12 09:03:33.399673","8","357.5","SINKOVSKYI, YURI","4007693","CLUB J.VIDAL","VAL"
"2024-02-12 09:03:33.399957","9","250.0","VÁZQUEZ GONZÁLEZ, BRUNO","12002041","RENBU-KAN","GAL"
"2024-02-12 09:03:33.400286","10","215.0","HINOJOSA ROSALES, ISMAEL","1001391","C.D. NO-KACHI","AND"
"2024-02-12 09:03:33.400641","11","212.5","LEON VALBUENA, CARLOS","15001884","KARATE ANTONIO MACHADO","MAD"
"2024-02-12 09:03:33.400923","11","212.5","RODRIGUEZ SASTRE, JOAQUIN","15005822","DASAN CONTACTO","MAD"
"2024-02-12 09:03:33.401209","13","187.5","GARCIA VERNETTA, JORGE","4004165","KENKYO","VAL"
"2024-02-12 09:03:33.401526","14","185.0","YUSTE ORILLE, JESUS","14002608","SANKUKAI","RIO"
"2024-02-12 09:03:33.401806","15","175.0","GONZALEZ TELLEZ, DAVID","2005555","GIMNASIO ARAGON MAURA","ARG"
"2024-02-12 09:03:33.402092","16","172.5","GUTIERREZ BARQUÍN, AARÓN","3005952","FELIX-SHOTOKAN","AST"
"2024-02-12 09:03:33.402393","17","157.5","NOVOA LARA, RICARDO OSCAR","5007936","C.D. SHURITE-LK","CNR"
"2024-02-12 09:03:33.402694","18","155.0","MARTÍNEZ BENCHID, FERNANDO AKRAME","14005199","SANKUKAI","RIO"
"2024-02-12 09:03:33.402978","19","135.0","ZAMORANO MERINO, SERGIO","4007945","CLUB DEPORTIVO KYODAI","VAL"
"2024-02-12 09:03:33.403265","20","132.5","SÁNCHEZ PRIETO, JOSÉ MARÍA","11015769","ASOCIACIÓN DEPORTIVA OAKI","EXT"
"2024-02-12 09:03:33.403587","21","130.0","PINAQUE GARCÍA, NICOLÁS","12002919","KARATE-DO CARBALLO","GAL"
"2024-02-12 09:03:33.403876","21","130.0","MONZINO FEDERICI, HIRO","15305582","ART GIM MADRID","MAD"
"2024-02-12 09:03:33.404162","23","122.5","GIMÉNEZ FIGUEROA, JAVIER","1005492","C.D. WADOKAN","AND"
"2024-02-12 09:03:33.404479","24","120.0","RIOS GARCIA, VICTOR","15002171","KARATE ANTONIO MACHADO","MAD"
"2024-02-12 09:03:33.404766","25","112.5","GARCIA MUÑOZ, TASIO","18004821","ADAKA","NAV"
"2024-02-12 09:03:33.405053","26","92.5","HERNANDEZ PUENTE, RODRIGO","8001344","CLUB KARATE CARCEDO","CAL"
"2024-02-12 09:03:33.405394","27","80.0","DAVIES, JAMIE","1005561","C.D. NO-KACHI","AND"
"2024-02-12 09:03:33.405792","27","80.0","HERNANDEZ CABRERA, MIGUEL","9005395","CLUB KARATE IPPON","CAT"
"2024-02-12 09:03:33.406137","29","77.5","CORUJO AZNAR, ANGEL","3002849","FELIX-SHOTOKAN","AST"
"2024-02-12 09:03:33.406508","30","72.5","TEMPLADO GARCIA, PELAYO","3003819","FELIX-SHOTOKAN","AST"
"2024-02-12 09:03:33.406846","31","70.0","TEMPLADO GARCÍA, PELAYO","3007010","KARATE CORVERA","AST"
"2024-02-12 09:03:33.407186","32","60.0","SALVATI, AUGUSTO","15327556","KARATE ANTONIO MACHADO","MAD"
"2024-02-12 09:03:33.407541","33","55.0","CAMACHO PUENTES, EIFER ANTONIO","5008183","C.D. SHURITE-LK","CNR"
"2024-02-12 09:03:33.407877","34","50.0","MARTÍN GONZÁLEZ, PABLO","8003850","FUJISAN - PALENCIA","CAL"
"2024-02-12 09:03:33.408223","35","45.0","AITHAMADI, EL HOUCINE","1005800","ASOCIACION KARATE AXARQUIA","AND"
"2024-02-12 09:03:33.408594","36","42.5","MARCANO MAVO, YANKO","9005278","KARATE NO KACHI LES FRANQUESES","CAT"
"2024-02-12 09:03:33.408942","37","40.0","HERNANDEZ LUCIO, JAVIER","15008532","CLUB VICTOR PRADERA-EUROPA","MAD"
"2024-02-12 09:03:33.409276","38","37.5","FERNANDEZ LOPEZ-ACEVEDO, MIGUEL","3002848","GIMNASIO LINO","AST"
"2024-02-12 09:03:33.409635","38","37.5","PEÑA PEREZ, LUIS ALBERTO","1006242","CLUB DE KARATE NITEN","AND"
"2024-02-12 09:03:33.409996","38","37.5","CASTILLO MURCIA, ALEJANDRO","1002778","C.D. TORRES KARATE","AND"
"2024-02-12 09:03:33.410345","41","35.0","JODEILI, JIMMY","15313312","KARATE ANTONIO MACHADO","MAD"
"2024-02-12 09:03:33.410709","41","35.0","GRANELL RUIZ, JAVIER","15001880","DASAN CONTACTO","MAD"
"2024-02-12 09:03:33.411046","43","30.0","ANDRES TOVAR, GUILLERMO","2005329","SOCIEDAD DEPORTIVA SHURIYAMA","ARG"
"2024-02-12 09:03:33.411395","43","30.0","PAZOS GONZÁLEZ, NOEL","12101446","MIZUKAMI","GAL"
"2024-02-12 09:03:33.411752","45","27.5","DIAZ HUERTA, IVAN","3005953","GIMNASIO LINO","AST"
"2024-02-12 09:03:33.412098","45","27.5","GOROSTIDI SANCHEZ, ANDER","18004787","S.D.C. ECHAVACOIZ","NAV"
"2024-02-12 09:03:33.412447","47","25.0","MORET GÓMEZ, CARLES","4007822","CLUB DE KARATE LA POBLA DE VALLBONA","VAL"
